id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cell|B_cell	B_cell|CancerHR-proficient	B_cell|CancerHRD	B_cell|DC	B_cell|EC	B_cell|Fibroblast	B_cell|Mast	B_cell|Myeloid	B_cell|T_cell	CancerHR-proficient|B_cell	CancerHR-proficient|CancerHR-proficient	CancerHR-proficient|CancerHRD	CancerHR-proficient|DC	CancerHR-proficient|EC	CancerHR-proficient|Fibroblast	CancerHR-proficient|Mast	CancerHR-proficient|Myeloid	CancerHR-proficient|T_cell	CancerHRD|B_cell	CancerHRD|CancerHR-proficient	CancerHRD|CancerHRD	CancerHRD|DC	CancerHRD|EC	CancerHRD|Fibroblast	CancerHRD|Mast	CancerHRD|Myeloid	CancerHRD|T_cell	DC|B_cell	DC|CancerHR-proficient	DC|CancerHRD	DC|DC	DC|EC	DC|Fibroblast	DC|Mast	DC|Myeloid	DC|T_cell	EC|B_cell	EC|CancerHR-proficient	EC|CancerHRD	EC|DC	EC|EC	EC|Fibroblast	EC|Mast	EC|Myeloid	EC|T_cell	Fibroblast|B_cell	Fibroblast|CancerHR-proficient	Fibroblast|CancerHRD	Fibroblast|DC	Fibroblast|EC	Fibroblast|Fibroblast	Fibroblast|Mast	Fibroblast|Myeloid	Fibroblast|T_cell	Mast|B_cell	Mast|CancerHR-proficient	Mast|CancerHRD	Mast|DC	Mast|EC	Mast|Fibroblast	Mast|Mast	Mast|Myeloid	Mast|T_cell	Myeloid|B_cell	Myeloid|CancerHR-proficient	Myeloid|CancerHRD	Myeloid|DC	Myeloid|EC	Myeloid|Fibroblast	Myeloid|Mast	Myeloid|Myeloid	Myeloid|T_cell	T_cell|B_cell	T_cell|CancerHR-proficient	T_cell|CancerHRD	T_cell|DC	T_cell|EC	T_cell|Fibroblast	T_cell|Mast	T_cell|Myeloid	T_cell|T_cell
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.012																																													0.386																																				
CPI-SS09375CA29	ADGRL1_NRG1	simple:O94910	simple:Q02297	ADGRL1	NRG1	True	True	True	InnateDB-All	False	0.012																																																			0.119																														
CPI-SS0C4D54E39	NOTCH3_JAG2	simple:Q9UM47	simple:Q9Y219	NOTCH3	JAG2	False	True	False	curated	False	0.012																																																		0.56																															
CPI-SS0B02DE712	EGFR_NRG1	simple:P00533	simple:Q02297	EGFR	NRG1	True	True	True	I2D,IMEx,InnateDB-All,IntAct	False	0.012																																																			0.188																														
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	0.012																																									0.292																																								
CPI-SS0C95AC883	WNT2_SFRP2	simple:P09544	simple:Q96HF1	WNT2	SFRP2	True	False	False	curated	False	0.012																																																			1.386																														
CPI-SS02704D1B8	WNT2_FRZB	simple:P09544	simple:Q92765	WNT2	FRZB	True	False	False	curated	False	0.012																																																			0.383																														
CPI-SC0E5A1BA8E	LAMA3_integrin_a3b1_complex	simple:Q16787	complex:integrin_a3b1_complex	LAMA3		True	False	False	curated	True	0.012																																									0.169																																								
CPI-SS043E0F61D	PTGER3_GHRL	simple:P43115	simple:Q9UBU3	PTGER3	GHRL	True	True	False	InnateDB-All	False	0.012																																																	0.189																																
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	0.012											0.147																																																																						
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	0.012																																																		0.979																															
CPI-SS0AA47D179	TNFRSF13B_CD70	simple:O14836	simple:P32970	TNFRSF13B	CD70	True	True	False	InnateDB-All	False	0.012	0.218																																																																																
CPI-CS0711601F5	FZD1_LRP5_WNT10A	complex:FZD1_LRP5	simple:Q9GZT5		WNT10A	True	False	False	curated	False	0.012																																																	0.13																																
CPI-CS0E54FF657	BMPR1A_BMPR2_BMP4	complex:BMPR1A_BMPR2	simple:P12644		BMP4	True	True	False	curated	False	0.012																																																			0.169																														
CPI-SS0C412B7DE	CD70_TNFRSF17	simple:P32970	simple:Q02223	CD70	TNFRSF17	True	False	True	InnateDB-All	False	0.012	0.217																																																																																
CPI-CS0123BC66C	PlexinA1_complex2_SEMA6D	complex:PlexinA1_complex2	simple:Q8NFY4		SEMA6D	False	True	False	curated	False	0.012																																																																				0.094													
CPI-CS0F3C15BCC	ProstaglandinD2_byAKR1C3_PTGDR	complex:ProstaglandinD2_byAKR1C3	simple:Q13258		PTGDR	True	False	True	curated	False	0.012																																													0.175																																				
CPI-SS042EB8C7A	TBXA2R_GHRL	simple:P21731	simple:Q9UBU3	TBXA2R	GHRL	True	True	False	InnateDB-All	False	0.012																																								0.136																																									
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	0.012											0.184																																																																						
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	0.012																																																			0.368																														
CPI-SC08252842D	PTGER3_ProstaglandinE2_byPTGES	simple:P43115	complex:ProstaglandinE2_byPTGES	PTGER3		True	True	False	curated	False	0.012																																																			0.22																														
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	0.012																																																																														0.313			
CPI-CS03C03A2E0	FZD7_LRP6_WNT2	complex:FZD7_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.012																																																			0.196																														
CPI-CS0ADD1BA62	FZD7_LRP5_WNT2	complex:FZD7_LRP5	simple:P09544		WNT2	True	False	False	curated	False	0.012																																																			0.181																														
CPI-SS0B337B316	TEK_ANGPT1	simple:Q02763	simple:Q15389	TEK	ANGPT1	True	True	False	curated	False	0.012																																										0.259																																							
CPI-SS0B9E8C0DE	EPHB2_EFNB2	simple:P29323	simple:P52799	EPHB2	EFNB2	False	True	True	curated	False	0.012																																																																				0.274													
CPI-CS01E56069F	FZD2_LRP6_WNT2	complex:FZD2_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.012																																																			0.154																														
CPI-CS0E502BB1F	FZD2_LRP5_WNT2	complex:FZD2_LRP5	simple:P09544		WNT2	True	False	False	curated	False	0.012																																																			0.154																														
CPI-CS05CFD8AFA	FZD1_LRP6_WNT2	complex:FZD1_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.012																																																			0.196																														
CPI-SS008700E67	CCL8_ACKR1	simple:P80075	simple:Q16570	CCL8	ACKR1	True	False	True	I2D	False	0.012																																																																				0.928													
CPI-SS07EC65CED	CCL7_ACKR1	simple:P80098	simple:Q16570	CCL7	ACKR1	True	False	True	I2D	False	0.012																																																																				0.792													
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	True	False	True	curated	False	0.012																																																																					0.21												
CPI-SS0BD5C2A23	NRG1_ERBB4	simple:Q02297	simple:Q15303	NRG1	ERBB4	True	True	True	curated	False	0.012																																															0.24																																		
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	EREG	ERBB4	True	False	True	curated	False	0.012																																																																	0.262																
CPI-CS0A8032B7C	FZD1_LRP5_WNT2	complex:FZD1_LRP5	simple:P09544		WNT2	True	False	False	curated	False	0.012																																																			0.181																														
CPI-SS08F13AD5C	CD80_CD274	simple:P33681	simple:Q9NZQ7	CD80	CD274	False	True	True	curated	False	0.012																																																																							0.113										
CPI-SS016EE0084	PDCD1_CD274	simple:Q15116	simple:Q9NZQ7	PDCD1	CD274	False	True	True	curated	False	0.012																																																																																0.253	
CPI-CS072C12EF4	5alphaDihydroprogesterone_byDHRS9_PGR	complex:5alphaDihydroprogesterone_byDHRS9	simple:P06401		PGR	True	False	False	curated	False	0.012																																																								0.25																									
CPI-SC0A5E87289	COL2A1_integrin_a11b1_complex	simple:P02458	complex:integrin_a11b1_complex	COL2A1		True	False	False	curated	True	0.012																								0.504																																																									
CPI-SC06F3DDF90	COL11A1_integrin_a11b1_complex	simple:P12107	complex:integrin_a11b1_complex	COL11A1		True	False	False	curated	True	0.012																																																			1.046																														
CPI-SC074D3FFBC	TGFB3_TGFbeta_receptor2	simple:P10600	complex:TGFbeta_receptor2	TGFB3		True	False	True	curated	False	0.012																																																			0.279																														
CPI-SS03CC15FF3	PDGFRA_PDGFC	simple:P16234	simple:Q9NRA1	PDGFRA	PDGFC	True	True	False	curated	False	0.012																																																			0.385																														
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367		HRH1	True	False	True	curated	False	0.012																																																											1.096																						
CPI-SS05E7290A6	WNT2_SFRP4	simple:P09544	simple:Q6FHJ7	WNT2	SFRP4	True	False	False	curated	False	0.012																																																			0.476																														
CPI-SS08833E2DA	CHRNA7_SLURP1	simple:P36544	simple:P55000	CHRNA7	SLURP1	True	True	False	IMEx,InnateDB-All,UniProt	False	0.012																																																									0.193																								
CPI-CS03D61E885	Cholesterol_byDHCR24_RORC	complex:Cholesterol_byDHCR24	simple:P51449		RORC	True	False	True	curated	False	0.012											0.308																																																																						
CPI-SS03A3EE72E	FLT4_PDGFC	simple:P35916	simple:Q9NRA1	FLT4	PDGFC	True	True	False	guidetopharmacology.org	False	0.012																																										0.267																																							
CPI-SS069C5BDB5	ESR1_TFF1	simple:P03372	simple:P04155	ESR1	TFF1	True	True	False	InnateDB-All	False	0.012											0.553																																																																						
CPI-CS0245870E9	Lthyroxine_byTPO_THRB	complex:Lthyroxine_byTPO	simple:P10828		THRB	True	False	False	curated	False	0.012																																										0.097																																							
CPI-SS0F972435E	FLT4_VEGFC	simple:P35916	simple:P49767	FLT4	VEGFC	True	True	False	curated	False	0.012																																									0.265																																								
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	0.012																																									1.142																																								
CPI-SS0273C9AED	KDR_VEGFC	simple:P35968	simple:P49767	KDR	VEGFC	True	True	False	curated	False	0.012																																									0.465																																								
CPI-SC0B3564B15	COL8A1_integrin_a2b1_complex	simple:P27658	complex:integrin_a2b1_complex	COL8A1		True	False	False	curated	True	0.012																																																		0.575																															
CPI-SC0D5418330	COL5A3_integrin_a2b1_complex	simple:P25940	complex:integrin_a2b1_complex	COL5A3		True	False	False	curated	True	0.012																																																		0.285																															
CPI-SC0F94B7D8F	COL8A2_integrin_a2b1_complex	simple:P25067	complex:integrin_a2b1_complex	COL8A2		True	False	False	curated	True	0.012																																																		0.325																															
CPI-SC0681DB40E	COL5A1_integrin_a2b1_complex	simple:P20908	complex:integrin_a2b1_complex	COL5A1		True	False	False	curated	True	0.012																																																		0.931																															
CPI-SS0C2437E0D	CXCL13_CXCR5	simple:O43927	simple:P32302	CXCL13	CXCR5	True	False	True	curated	False	0.012																																																																									0.408								
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	COL6A3		True	False	False	curated	True	0.012																																																		1.332																															
CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	COL1A1		True	False	False	curated	True	0.012																																																		2.26																															
CPI-SC09C62F412	COL2A1_integrin_a2b1_complex	simple:P02458	complex:integrin_a2b1_complex	COL2A1		True	False	False	curated	True	0.012																							0.196																																																										
CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	COL3A1		True	False	False	curated	True	0.012																																																		1.965																															
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	0.012																																									1.364																																								
CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	COL5A2		True	False	False	curated	True	0.012																																																		1.141																															
CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	COL1A2		True	False	False	curated	True	0.012																																																		2.155																															
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	0.012																																																		0.738																															
CPI-SC05640277E	COL7A1_integrin_a2b1_complex	simple:Q02388	complex:integrin_a2b1_complex	COL7A1		True	False	False	curated	True	0.012																																																		0.136																															
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	0.012																																																		0.605																															
CPI-SS0F3BF2B34	CCL5_ACKR4	simple:P13501	simple:Q9NPB9	CCL5	ACKR4	True	False	True	I2D	False	0.012																																																																														1.037			
CPI-SS0320FFAFC	CTLA4_CD80	simple:P16410	simple:P33681	CTLA4	CD80	False	False	True	curated	False	0.012																																																																																0.267	
CPI-SC0519DE925	COL10A1_integrin_a11b1_complex	simple:Q03692	complex:integrin_a11b1_complex	COL10A1		True	False	False	curated	True	0.012																																																			0.913																														
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	0.012																																																		0.52																															
CPI-SC092A2325E	COL14A1_integrin_a11b1_complex	simple:Q05707	complex:integrin_a11b1_complex	COL14A1		True	False	False	curated	True	0.012																																																			0.828																														
CPI-SC044C2FDA4	COL27A1_integrin_a2b1_complex	simple:Q8IZC6	complex:integrin_a2b1_complex	COL27A1		True	False	False	curated	True	0.012																																																		0.152																															
CPI-SS07327E587	CD28_CD80	simple:P10747	simple:P33681	CD28	CD80	False	False	True	curated	False	0.012																																																																																0.197	
CPI-SS082ABF1EA	EFNB2_EPHB3	simple:P52799	simple:P54753	EFNB2	EPHB3	False	True	True	curated	False	0.012																																										0.261																																							
CPI-SS0BFD8E056	EFNB2_EPHB1	simple:P52799	simple:P54762	EFNB2	EPHB1	False	True	True	curated	False	0.012																																								0.297																																									
CPI-SC037038602	COL7A1_integrin_a11b1_complex	simple:Q02388	complex:integrin_a11b1_complex	COL7A1		True	False	False	curated	True	0.012																																																			0.444																														
CPI-SC0FC6454F5	COL27A1_integrin_a11b1_complex	simple:Q8IZC6	complex:integrin_a11b1_complex	COL27A1		True	False	False	curated	True	0.012																																																			0.46																														
CPI-SC0D0BFC9F7	COL5A3_integrin_a11b1_complex	simple:P25940	complex:integrin_a11b1_complex	COL5A3		True	False	False	curated	True	0.012																																																			0.593																														
CPI-SC0CC30CEC0	COL8A2_integrin_a11b1_complex	simple:P25067	complex:integrin_a11b1_complex	COL8A2		True	False	False	curated	True	0.012																																																			0.633																														
CPI-SC08821B0D2	COL5A1_integrin_a11b1_complex	simple:P20908	complex:integrin_a11b1_complex	COL5A1		True	False	False	curated	True	0.012																																																			1.238																														
CPI-SC04FF0CDA1	COL8A1_integrin_a11b1_complex	simple:P27658	complex:integrin_a11b1_complex	COL8A1		True	False	False	curated	True	0.012																																																			0.883																														
CPI-SS07F60834D	MET_HGF	simple:P08581	simple:P14210	MET	HGF	True	True	False	curated	False	0.025																																										0.2		0.206																																					
CPI-SC08932F30D	PTGER2_ProstaglandinE2_byPTGES	simple:P43116	complex:ProstaglandinE2_byPTGES	PTGER2		True	True	False	curated	False	0.025																																																																					0.136									0.189			
CPI-SS0E61DB5DF	FLT1_PGF	simple:P17948	simple:P49763	FLT1	PGF	True	True	False	curated	False	0.025																																									0.546	0.561																																							
CPI-SS0D954EA1C	PDGFRB_PDGFD	simple:P09619	simple:Q9GZP0	PDGFRB	PDGFD	True	True	False	curated	False	0.025																																																		0.742	0.776																														
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	0.025																																										0.84																											0.711												
CPI-CS0E9155EA2	FZD6_LRP6_WNT2	complex:FZD6_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.025																																										0.225									0.154																														
CPI-SS00F4DDF4B	PTN_PTPRS	simple:P21246	simple:Q13332	PTN	PTPRS	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.025																																																	0.474		0.308																														
CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	CXCL2	DPP4	True	False	True	curated	False	0.025																																																																			0.298		0.319												
CPI-SS0E4B1484B	ICOSLG_ICOS	simple:O75144	simple:Q9Y6W8	ICOSLG	ICOS	True	False	True	curated	False	0.025																																				0.226																																				0.221									
CPI-CS070C94FC9	FZD4_LRP5_WNT2	complex:FZD4_LRP5	simple:P09544		WNT2	True	False	False	curated	False	0.025																																										0.216									0.181																														
CPI-SS0A932EB77	SLIT2_ROBO1	simple:O94813	simple:Q9Y6N7	SLIT2	ROBO1	True	False	True	curated	False	0.025																																																		0.191	0.234																														
CPI-CS0837F11F9	PlexinA2_complex1_SEMA6A	complex:PlexinA2_complex1	simple:Q9H2E6		SEMA6A	False	True	False	curated	False	0.025																																									0.298									0.201																															
CPI-CS061152023	PDGFR_complex_PDGFD	complex:PDGFR_complex	simple:Q9GZP0		PDGFD	True	True	False	curated	False	0.025																																																		0.36	0.394																														
CPI-SS0CC738ABC	CXCL11_DPP4	simple:O14625	simple:P27487	CXCL11	DPP4	True	False	True	curated	False	0.025																																																																			0.198		0.219												
CPI-SS0D4BF6CA3	CD27_CD70	simple:P26842	simple:P32970	CD27	CD70	True	True	False	curated	False	0.025	0.335																																																																								0.528								
CPI-SC01BCB453C	PTGIR_Prostacyclin_byPTGIS	simple:P43119	complex:Prostacyclin_byPTGIS	PTGIR		True	True	False	curated	False	0.025																																	0.12																		0.13																														
CPI-SS08A819670	CD70_GPRC5B	simple:P32970	simple:Q9NZH0	CD70	GPRC5B	True	False	True	InnateDB-All	False	0.025			0.108		0.255																																																																												
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	0.025																																																																			0.555		0.576												
CPI-SS015E1E2C6	SELP_CD34	simple:P16109	simple:P28906	SELP	CD34	False	False	False	curated	False	0.025																																									0.968	0.228																																							
CPI-CS045AC7D7C	Histamine_byHDC_HRH2	complex:Histamine_byHDC	simple:P25021		HRH2	True	False	True	curated	False	0.025																																																										1.123				1.124																			
CPI-SS0D377BBBF	ADCYAP1_DPP4	simple:P18509	simple:P27487	ADCYAP1	DPP4	True	False	True	InnateDB-All,MINT	False	0.025																																																										0.365		0.386																					
CPI-CS0149222E6	FZD4_LRP6_WNT2	complex:FZD4_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.025																																										0.225									0.196																														
CPI-SS0DFA98A14	CSF1R_IL34	simple:P07333	simple:Q6ZMJ4	CSF1R	IL34	True	True	False	curated	False	0.025																																	0.367																																				0.671												
CPI-CS099D829B9	IGF1R_enhancerComGPC3_IGF1	complex:IGF1R_enhancerComGPC3	simple:P05019		IGF1	True	True	False	curated	False	0.025																																																			0.338		0.15																												
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	True	False	True	curated	False	0.025																																										0.459																											0.329												
CPI-SC0C351F7DF	COL4A1_integrin_a11b1_complex	simple:P02462	complex:integrin_a11b1_complex	COL4A1		True	False	False	curated	True	0.025																																										1.125									0.713																														
CPI-SC075489ADB	COL5A2_integrin_a11b1_complex	simple:P05997	complex:integrin_a11b1_complex	COL5A2		True	False	False	curated	True	0.025																																										0.441									1.449																														
CPI-SS08D0F9109	EFNB2_EPHB4	simple:P52799	simple:P54760	EFNB2	EPHB4	False	True	True	curated	False	0.025																																						0.238			0.372																																								
CPI-SC0BCE0B954	COL15A1_integrin_a11b1_complex	simple:P39059	complex:integrin_a11b1_complex	COL15A1		True	False	False	curated	True	0.025																																										1.089									0.687																														
CPI-SC01633DC81	COL16A1_integrin_a11b1_complex	simple:Q07092	complex:integrin_a11b1_complex	COL16A1		True	False	False	curated	True	0.025																								0.444																											0.805																														
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	0.025																																									0.138																		0.155																						
CPI-CS0E661878B	LIFR_OSM	complex:LIFR	simple:P13725		OSM	True	True	False	curated	False	0.025																																												0.403									0.159																												
CPI-SC093DFA335	COL13A1_integrin_a11b1_complex	simple:Q5TAT6	complex:integrin_a11b1_complex	COL13A1		False	False	False	curated	True	0.025																																										0.446																		0.463																					
CPI-CS06D50EBF8	OSMR_OSM	complex:OSMR	simple:P13725		OSM	True	True	False	curated	False	0.025																																												0.207									0.266																												
CPI-CS07B61574B	LIFR_LIF	complex:LIFR	simple:P15018		LIF	True	True	False	curated	False	0.025																																											0.543									0.299																													
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	0.025																							0.136																											0.497																															
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	0.025														0.196									0.131																																																										
CPI-SC0A3722F1F	COL12A1_integrin_a11b1_complex	simple:Q99715	complex:integrin_a11b1_complex	COL12A1		True	False	False	curated	True	0.025															0.495																																				1.287																														
CPI-SC0E53A238E	COL11A1_integrin_a1b1_complex	simple:P12107	complex:integrin_a1b1_complex	COL11A1		True	False	False	curated	True	0.025																																																		0.9	0.894																														
CPI-SC0592501EA	COL5A1_integrin_a1b1_complex	simple:P20908	complex:integrin_a1b1_complex	COL5A1		True	False	False	curated	True	0.025																																																		1.092	1.087																														
CPI-SC0453131F6	COL8A2_integrin_a1b1_complex	simple:P25067	complex:integrin_a1b1_complex	COL8A2		True	False	False	curated	True	0.025																																																		0.487	0.481																														
CPI-SC00EAD4C47	COL5A3_integrin_a1b1_complex	simple:P25940	complex:integrin_a1b1_complex	COL5A3		True	False	False	curated	True	0.025																																																		0.447	0.441																														
CPI-SC03760D980	COL8A1_integrin_a1b1_complex	simple:P27658	complex:integrin_a1b1_complex	COL8A1		True	False	False	curated	True	0.025																																																		0.737	0.731																														
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	0.025																																									0.781									0.379																															
CPI-SC0E509A5C6	COL7A1_integrin_a1b1_complex	simple:Q02388	complex:integrin_a1b1_complex	COL7A1		True	False	False	curated	True	0.025																																																		0.298	0.292																														
CPI-SC04FA882F7	COL10A1_integrin_a1b1_complex	simple:Q03692	complex:integrin_a1b1_complex	COL10A1		True	False	False	curated	True	0.025																																																		0.767	0.762																														
CPI-SC0AB5FBF10	COL14A1_integrin_a1b1_complex	simple:Q05707	complex:integrin_a1b1_complex	COL14A1		True	False	False	curated	True	0.025																																																		0.682	0.676																														
CPI-SC050F64BB5	COL27A1_integrin_a1b1_complex	simple:Q8IZC6	complex:integrin_a1b1_complex	COL27A1		True	False	False	curated	True	0.025																																																		0.314	0.308																														
CPI-SC03515B178	COL4A1_integrin_a2b1_complex	simple:P02462	complex:integrin_a2b1_complex	COL4A1		True	False	False	curated	True	0.025																																									0.817									0.405																															
CPI-SC0EA8ABCFD	COL2A1_integrin_a1b1_complex	simple:P02458	complex:integrin_a1b1_complex	COL2A1		True	False	False	curated	True	0.025																							0.358	0.352																																																									
CPI-SS05D406038	PTGIR_GHRL	simple:P43119	simple:Q9UBU3	PTGIR	GHRL	True	True	False	InnateDB-All	False	0.025																															0.112																		0.122																																
CPI-SS01E6C2BB8	WNT2_SFRP1	simple:P09544	simple:Q8N474	WNT2	SFRP1	True	False	False	curated	False	0.025																																																0.225			0.205																														
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	0.025																																																		0.169	0.37																														
