id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B_cell|B_cell	B_cell|CancerHR-proficient	B_cell|CancerHRD	B_cell|DC	B_cell|EC	B_cell|Fibroblast	B_cell|Mast	B_cell|Myeloid	B_cell|T_cell	CancerHR-proficient|B_cell	CancerHR-proficient|CancerHR-proficient	CancerHR-proficient|CancerHRD	CancerHR-proficient|DC	CancerHR-proficient|EC	CancerHR-proficient|Fibroblast	CancerHR-proficient|Mast	CancerHR-proficient|Myeloid	CancerHR-proficient|T_cell	CancerHRD|B_cell	CancerHRD|CancerHR-proficient	CancerHRD|CancerHRD	CancerHRD|DC	CancerHRD|EC	CancerHRD|Fibroblast	CancerHRD|Mast	CancerHRD|Myeloid	CancerHRD|T_cell	DC|B_cell	DC|CancerHR-proficient	DC|CancerHRD	DC|DC	DC|EC	DC|Fibroblast	DC|Mast	DC|Myeloid	DC|T_cell	EC|B_cell	EC|CancerHR-proficient	EC|CancerHRD	EC|DC	EC|EC	EC|Fibroblast	EC|Mast	EC|Myeloid	EC|T_cell	Fibroblast|B_cell	Fibroblast|CancerHR-proficient	Fibroblast|CancerHRD	Fibroblast|DC	Fibroblast|EC	Fibroblast|Fibroblast	Fibroblast|Mast	Fibroblast|Myeloid	Fibroblast|T_cell	Mast|B_cell	Mast|CancerHR-proficient	Mast|CancerHRD	Mast|DC	Mast|EC	Mast|Fibroblast	Mast|Mast	Mast|Myeloid	Mast|T_cell	Myeloid|B_cell	Myeloid|CancerHR-proficient	Myeloid|CancerHRD	Myeloid|DC	Myeloid|EC	Myeloid|Fibroblast	Myeloid|Mast	Myeloid|Myeloid	Myeloid|T_cell	T_cell|B_cell	T_cell|CancerHR-proficient	T_cell|CancerHRD	T_cell|DC	T_cell|EC	T_cell|Fibroblast	T_cell|Mast	T_cell|Myeloid	T_cell|T_cell
CPI-CS0C4ABE334	LeukotrieneD4_byGGT1_CYSLTR1	complex:LeukotrieneD4_byGGT1	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.103	0.011	0.007	0.151	0.09	0.004	0.107	0.059	0.052	0.12	0.028	0.024	0.168	0.107	0.021	0.124	0.076	0.069	0.125	0.033	0.029	0.174	0.112	0.026	0.13	0.081	0.075	0.106	0.015	0.011	0.155	0.093	0.008	0.111	0.063	0.056	0.104	0.013	0.009	0.153	0.091	0.006	0.109	0.061	0.054	0.107	0.015	0.012	0.156	0.094	0.009	0.112	0.063	0.057	0.115	0.023	0.019	0.163	0.102	0.016	0.119	0.071	0.064	0.109	0.017	0.013	0.157	0.096	0.01	0.113	0.065	0.058	0.103	0.011	0.007	0.152	0.09	0.004	0.107	0.059	0.052
CPI-CS0150916A7	LeukotrieneE4_byDPEP1_CYSLTR1	complex:LeukotrieneE4_byDPEP1	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.125	0.033	0.029	0.173	0.112	0.026	0.129	0.081	0.074	0.101	0.009	0.005	0.149	0.088	0.002	0.105	0.057	0.05	0.1	0.009	0.005	0.149	0.087	0.002	0.105	0.057	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.019	0.015	0.16	0.098	0.012	0.115	0.067	0.061	0.11	0.018	0.014	0.158	0.097	0.011	0.114	0.066	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.009	0.005	0.149	0.087	0.002	0.105	0.057	0.05
CPI-CS048E474A5	LeukotrieneE4_byDPEP2_CYSLTR1	complex:LeukotrieneE4_byDPEP2	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.135	0.043	0.04	0.184	0.122	0.037	0.14	0.091	0.085	0.103	0.011	0.007	0.152	0.09	0.004	0.107	0.059	0.053	0.105	0.014	0.01	0.154	0.092	0.007	0.11	0.062	0.055	0.139	0.047	0.043	0.187	0.126	0.04	0.143	0.095	0.088	0.104	0.013	0.009	0.153	0.091	0.006	0.109	0.061	0.054	0.102	0.01	0.006	0.15	0.089	0.003	0.106	0.058	0.051	0.108	0.016	0.012	0.156	0.095	0.009	0.112	0.064	0.057	0.178	0.086	0.082	0.226	0.165	0.079	0.182	0.134	0.127	0.13	0.038	0.034	0.178	0.117	0.031	0.134	0.086	0.079
CPI-CS0C89AD6A7	LeukotrieneE4_byDPEP3_CYSLTR1	complex:LeukotrieneE4_byDPEP3	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.102	0.011	0.007	0.151	0.089	0.004	0.107	0.059	0.052	0.101	0.009	0.005	0.149	0.087	0.002	0.105	0.057	0.05	0.101	0.009	0.005	0.149	0.088	0.002	0.105	0.057	0.05	0.102	0.01	0.006	0.151	0.089	0.003	0.106	0.058	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.009	0.005	0.149	0.087	0.002	0.105	0.057	0.05	0.105	0.013	0.009	0.154	0.092	0.006	0.109	0.061	0.054	0.101	0.01	0.006	0.15	0.088	0.003	0.106	0.058	0.051	0.101	0.009	0.005	0.15	0.088	0.002	0.106	0.057	0.051
CPI-CS0C1CAC8F7	LipoxinA4_byALOX12_CYSLTR1	complex:LipoxinA4_byALOX12	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.009	0.005	0.149	0.087	0.002	0.105	0.057	0.05	0.102	0.01	0.006	0.15	0.088	0.003	0.106	0.058	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.009	0.005	0.149	0.088	0.002	0.105	0.057	0.05	0.1	0.009	0.005	0.149	0.087	0.002	0.105	0.057	0.05
CPI-CS087E1C654	LipoxinA4_byALOX5_CYSLTR1	complex:LipoxinA4_byALOX5	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.119	0.027	0.023	0.168	0.106	0.02	0.123	0.075	0.068	0.128	0.036	0.032	0.177	0.115	0.029	0.132	0.084	0.077	0.114	0.022	0.018	0.162	0.1	0.015	0.118	0.07	0.063	0.154	0.062	0.059	0.203	0.141	0.056	0.159	0.11	0.104	0.11	0.018	0.014	0.159	0.097	0.011	0.115	0.066	0.06	0.103	0.011	0.008	0.152	0.09	0.005	0.108	0.059	0.053	0.909	0.817	0.814	0.958	0.896	0.811	0.914	0.865	0.859	0.214	0.123	0.119	0.263	0.201	0.116	0.219	0.171	0.164	0.105	0.014	0.01	0.154	0.092	0.007	0.11	0.062	0.055
CPI-CS03629A52A	2arachidonoylglycerol_byDAGLA_CNR1	complex:2arachidonoylglycerol_byDAGLA	simple:P21554		CNR1	True	False	True	curated	False	0.016	0.001	0.0	0.0	0.011	0.005	0.0	0.0	0.0	0.021	0.006	0.006	0.0	0.016	0.01	0.0	0.006	0.006	0.019	0.004	0.003	0.0	0.014	0.008	0.0	0.003	0.003	0.023	0.008	0.008	0.0	0.018	0.013	0.0	0.008	0.008	0.025	0.01	0.009	0.0	0.02	0.014	0.0	0.009	0.009	0.023	0.009	0.008	0.0	0.019	0.013	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.015	0.015	0.0	0.025	0.019	0.0	0.015	0.015	0.016	0.001	0.0	0.0	0.011	0.005	0.0	0.0	0.0
CPI-CS007D418BE	2arachidonoylglycerol_byDAGLB_CNR1	complex:2arachidonoylglycerol_byDAGLB	simple:P21554		CNR1	True	False	True	curated	False	0.032	0.017	0.017	0.0	0.027	0.022	0.0	0.017	0.017	0.035	0.02	0.019	0.0	0.03	0.024	0.0	0.019	0.019	0.028	0.013	0.013	0.0	0.023	0.018	0.0	0.013	0.013	0.076	0.061	0.06	0.0	0.071	0.065	0.0	0.06	0.06	0.057	0.042	0.041	0.0	0.052	0.046	0.0	0.041	0.041	0.034	0.019	0.018	0.0	0.029	0.023	0.0	0.018	0.018	0.026	0.011	0.01	0.0	0.021	0.015	0.0	0.01	0.01	0.106	0.091	0.09	0.0	0.101	0.095	0.0	0.09	0.09	0.032	0.017	0.017	0.0	0.027	0.022	0.0	0.017	0.017
CPI-CS0C6F86DF5	2arachidonoylglycerol_byDAGLA_CNR2	complex:2arachidonoylglycerol_byDAGLA	simple:P34972		CNR2	True	False	True	curated	False	0.053	0.001	0.001	0.01	0.0	0.0	0.0	0.0	0.004	0.058	0.007	0.007	0.015	0.006	0.006	0.0	0.0	0.01	0.056	0.004	0.005	0.013	0.004	0.004	0.0	0.0	0.007	0.061	0.009	0.009	0.017	0.008	0.008	0.0	0.0	0.012	0.062	0.01	0.011	0.019	0.01	0.01	0.0	0.0	0.013	0.061	0.009	0.009	0.018	0.008	0.008	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.016	0.016	0.024	0.015	0.015	0.0	0.0	0.019	0.053	0.001	0.002	0.01	0.001	0.001	0.0	0.0	0.004
CPI-CS030959ED1	2arachidonoylglycerol_byDAGLB_CNR2	complex:2arachidonoylglycerol_byDAGLB	simple:P34972		CNR2	True	False	True	curated	False	0.07	0.018	0.018	0.026	0.017	0.017	0.0	0.0	0.021	0.072	0.02	0.02	0.029	0.019	0.019	0.0	0.0	0.023	0.066	0.014	0.014	0.022	0.013	0.013	0.0	0.0	0.017	0.113	0.061	0.061	0.07	0.061	0.06	0.0	0.0	0.064	0.094	0.042	0.042	0.051	0.041	0.041	0.0	0.0	0.045	0.071	0.019	0.02	0.028	0.019	0.019	0.0	0.0	0.022	0.063	0.011	0.011	0.02	0.01	0.01	0.0	0.0	0.014	0.143	0.091	0.091	0.1	0.09	0.09	0.0	0.0	0.094	0.07	0.018	0.018	0.026	0.017	0.017	0.0	0.0	0.021
CPI-SS05BA6D9C3	CCL4_CNR2	simple:P13236	simple:P34972	CCL4	CNR2	True	False	True	IMEx,IntAct	False	0.095	0.043	0.043	0.052	0.042	0.042	0.0	0.0	0.046	0.085	0.033	0.033	0.042	0.032	0.032	0.0	0.0	0.036	0.114	0.062	0.063	0.071	0.062	0.062	0.0	0.0	0.065	0.207	0.156	0.156	0.164	0.155	0.155	0.0	0.0	0.159	0.073	0.022	0.022	0.03	0.021	0.021	0.0	0.0	0.025	0.066	0.014	0.014	0.022	0.013	0.013	0.0	0.0	0.017	0.09	0.039	0.039	0.047	0.038	0.038	0.0	0.0	0.042	0.692	0.641	0.641	0.649	0.64	0.64	0.0	0.0	0.644	0.584	0.532	0.532	0.541	0.532	0.531	0.0	0.0	0.535
CPI-CS045C37E64	2arachidonoylglycerol_byDAGLA_GPR55	complex:2arachidonoylglycerol_byDAGLA	simple:Q9Y2T6		GPR55	True	False	True	curated	False	0.007	0.0	0.002	0.013	0.001	0.0	0.009	0.001	0.005	0.012	0.006	0.007	0.018	0.006	0.005	0.014	0.006	0.01	0.01	0.004	0.005	0.016	0.004	0.003	0.012	0.004	0.008	0.014	0.008	0.009	0.02	0.008	0.008	0.016	0.009	0.012	0.016	0.01	0.011	0.022	0.01	0.009	0.018	0.01	0.014	0.015	0.008	0.01	0.021	0.009	0.008	0.017	0.009	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.015	0.016	0.027	0.015	0.014	0.023	0.015	0.019	0.007	0.001	0.002	0.013	0.001	0.0	0.009	0.001	0.005
CPI-CS01F7D06F1	2arachidonoylglycerol_byDAGLB_GPR55	complex:2arachidonoylglycerol_byDAGLB	simple:Q9Y2T6		GPR55	True	False	True	curated	False	0.023	0.017	0.018	0.029	0.017	0.017	0.026	0.018	0.021	0.026	0.019	0.021	0.032	0.02	0.019	0.028	0.02	0.024	0.019	0.013	0.014	0.025	0.013	0.013	0.022	0.014	0.017	0.067	0.061	0.062	0.073	0.061	0.06	0.069	0.061	0.065	0.048	0.041	0.043	0.054	0.042	0.041	0.05	0.042	0.046	0.025	0.019	0.02	0.031	0.019	0.018	0.027	0.019	0.023	0.017	0.01	0.012	0.023	0.011	0.01	0.019	0.011	0.015	0.097	0.09	0.092	0.103	0.091	0.09	0.099	0.091	0.095	0.023	0.017	0.018	0.029	0.017	0.017	0.026	0.018	0.021
CPI-SS0ADC886E5	CCL4_CCR8	simple:P13236	simple:P51685	CCL4	CCR8	True	False	True	I2D	False	0.0	0.043	0.0	0.0	0.042	0.042	0.0	0.042	0.06	0.0	0.033	0.0	0.0	0.032	0.032	0.0	0.032	0.05	0.0	0.062	0.0	0.0	0.062	0.062	0.0	0.061	0.08	0.0	0.155	0.0	0.0	0.155	0.155	0.0	0.155	0.173	0.0	0.021	0.0	0.0	0.021	0.021	0.0	0.021	0.039	0.0	0.013	0.0	0.0	0.013	0.013	0.0	0.013	0.031	0.0	0.038	0.0	0.0	0.038	0.038	0.0	0.037	0.056	0.0	0.64	0.0	0.0	0.64	0.64	0.0	0.64	0.658	0.0	0.532	0.0	0.0	0.531	0.531	0.0	0.531	0.55
CPI-SS03A875239	CCL16_CCR8	simple:O15467	simple:P51685	CCL16	CCR8	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.028	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.019
CPI-SS04297753E	SPP1_CCR8	simple:P10451	simple:P51685	SPP1	CCR8	True	False	True	IMEx,MINT	False	0.0	0.016	0.0	0.0	0.015	0.015	0.0	0.015	0.034	0.0	0.103	0.0	0.0	0.103	0.103	0.0	0.103	0.121	0.0	0.157	0.0	0.0	0.157	0.157	0.0	0.157	0.175	0.0	0.06	0.0	0.0	0.06	0.06	0.0	0.06	0.078	0.0	0.086	0.0	0.0	0.086	0.086	0.0	0.085	0.104	0.0	0.038	0.0	0.0	0.037	0.037	0.0	0.037	0.056	0.0	0.013	0.0	0.0	0.013	0.013	0.0	0.013	0.031	0.0	0.891	0.0	0.0	0.89	0.89	0.0	0.89	0.909	0.0	0.03	0.0	0.0	0.029	0.029	0.0	0.029	0.048
CPI-SS0B784A03E	CCL1_CCR8	simple:P22362	simple:P51685	CCL1	CCR8	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.002	0.0	0.0	0.002	0.002	0.0	0.001	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.019
CPI-SS0268D47AD	CCL4_GPR152	simple:P13236	simple:Q8TDT2	CCL4	GPR152	True	False	True	IMEx,IntAct	False	0.043	0.042	0.0	0.0	0.042	0.042	0.043	0.0	0.042	0.033	0.032	0.0	0.0	0.032	0.032	0.033	0.0	0.032	0.062	0.061	0.0	0.0	0.062	0.061	0.063	0.0	0.062	0.155	0.155	0.0	0.0	0.155	0.155	0.156	0.0	0.155	0.021	0.021	0.0	0.0	0.021	0.021	0.022	0.0	0.021	0.014	0.013	0.0	0.0	0.013	0.013	0.014	0.0	0.013	0.038	0.038	0.0	0.0	0.038	0.037	0.039	0.0	0.038	0.641	0.64	0.0	0.0	0.64	0.64	0.641	0.0	0.64	0.532	0.531	0.0	0.0	0.531	0.531	0.533	0.0	0.531
CPI-SS016B111FE	IGF2_GPR152	simple:P01344	simple:Q8TDT2	IGF2	GPR152	True	False	True	IMEx,IntAct	False	0.01	0.009	0.0	0.0	0.009	0.009	0.01	0.0	0.009	0.072	0.072	0.0	0.0	0.072	0.072	0.073	0.0	0.072	0.403	0.402	0.0	0.0	0.402	0.402	0.404	0.0	0.403	0.012	0.011	0.0	0.0	0.011	0.011	0.013	0.0	0.011	0.345	0.344	0.0	0.0	0.344	0.344	0.345	0.0	0.344	0.354	0.353	0.0	0.0	0.353	0.353	0.354	0.0	0.353	0.017	0.016	0.0	0.0	0.016	0.016	0.018	0.0	0.016	0.014	0.013	0.0	0.0	0.013	0.013	0.014	0.0	0.013	0.01	0.009	0.0	0.0	0.009	0.009	0.01	0.0	0.009
