id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cell|B_cell	B_cell|Cancer_cellHR-proficient	B_cell|Cancer_cellHRD	B_cell|Endothelial_cell	B_cell|Fibroblast	B_cell|Mast_cell	B_cell|Myeloid_cell	B_cell|T_cell	B_cell|pDC	Cancer_cellHR-proficient|B_cell	Cancer_cellHR-proficient|Cancer_cellHR-proficient	Cancer_cellHR-proficient|Cancer_cellHRD	Cancer_cellHR-proficient|Endothelial_cell	Cancer_cellHR-proficient|Fibroblast	Cancer_cellHR-proficient|Mast_cell	Cancer_cellHR-proficient|Myeloid_cell	Cancer_cellHR-proficient|T_cell	Cancer_cellHR-proficient|pDC	Cancer_cellHRD|B_cell	Cancer_cellHRD|Cancer_cellHR-proficient	Cancer_cellHRD|Cancer_cellHRD	Cancer_cellHRD|Endothelial_cell	Cancer_cellHRD|Fibroblast	Cancer_cellHRD|Mast_cell	Cancer_cellHRD|Myeloid_cell	Cancer_cellHRD|T_cell	Cancer_cellHRD|pDC	Endothelial_cell|B_cell	Endothelial_cell|Cancer_cellHR-proficient	Endothelial_cell|Cancer_cellHRD	Endothelial_cell|Endothelial_cell	Endothelial_cell|Fibroblast	Endothelial_cell|Mast_cell	Endothelial_cell|Myeloid_cell	Endothelial_cell|T_cell	Endothelial_cell|pDC	Fibroblast|B_cell	Fibroblast|Cancer_cellHR-proficient	Fibroblast|Cancer_cellHRD	Fibroblast|Endothelial_cell	Fibroblast|Fibroblast	Fibroblast|Mast_cell	Fibroblast|Myeloid_cell	Fibroblast|T_cell	Fibroblast|pDC	Mast_cell|B_cell	Mast_cell|Cancer_cellHR-proficient	Mast_cell|Cancer_cellHRD	Mast_cell|Endothelial_cell	Mast_cell|Fibroblast	Mast_cell|Mast_cell	Mast_cell|Myeloid_cell	Mast_cell|T_cell	Mast_cell|pDC	Myeloid_cell|B_cell	Myeloid_cell|Cancer_cellHR-proficient	Myeloid_cell|Cancer_cellHRD	Myeloid_cell|Endothelial_cell	Myeloid_cell|Fibroblast	Myeloid_cell|Mast_cell	Myeloid_cell|Myeloid_cell	Myeloid_cell|T_cell	Myeloid_cell|pDC	T_cell|B_cell	T_cell|Cancer_cellHR-proficient	T_cell|Cancer_cellHRD	T_cell|Endothelial_cell	T_cell|Fibroblast	T_cell|Mast_cell	T_cell|Myeloid_cell	T_cell|T_cell	T_cell|pDC	pDC|B_cell	pDC|Cancer_cellHR-proficient	pDC|Cancer_cellHRD	pDC|Endothelial_cell	pDC|Fibroblast	pDC|Mast_cell	pDC|Myeloid_cell	pDC|T_cell	pDC|pDC
CPI-CS072C12EF4	5alphaDihydroprogesterone_byDHRS9_PGR	complex:5alphaDihydroprogesterone_byDHRS9	simple:P06401		PGR	True	False	False	curated	False	0.012																																															0.241																																		
CPI-SS05D406038	PTGIR_GHRL	simple:P43119	simple:Q9UBU3	PTGIR	GHRL	True	True	False	InnateDB-All	False	0.012																																													0.123																																				
CPI-SS008700E67	CCL8_ACKR1	simple:P80075	simple:Q16570	CCL8	ACKR1	True	False	True	I2D	False	0.012																																																										0.688																							
CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	True	False	True	curated	False	0.012																																																										0.789																							
CPI-SC074D3FFBC	TGFB3_TGFbeta_receptor2	simple:P10600	complex:TGFbeta_receptor2	TGFB3		True	False	True	curated	False	0.012																																									0.278																																								
CPI-CS0E661878B	LIFR_OSM	complex:LIFR	simple:P13725		OSM	True	True	False	curated	False	0.012																																		0.3																																															
CPI-CS0A8032B7C	FZD1_LRP5_WNT2	complex:FZD1_LRP5	simple:P09544		WNT2	True	False	False	curated	False	0.012																																									0.157																																								
CPI-SC0202406F0	TGFB3_integrin_aVb8_complex	simple:P10600	complex:integrin_aVb8_complex	TGFB3		True	False	False	curated	True	0.012																																							0.243																																										
CPI-SS0E4B1484B	ICOSLG_ICOS	simple:O75144	simple:Q9Y6W8	ICOSLG	ICOS	True	False	True	curated	False	0.012																																																																																0.223	
CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	COL1A1		True	False	False	curated	True	0.012																																								2.205																																									
CPI-SC09C62F412	COL2A1_integrin_a2b1_complex	simple:P02458	complex:integrin_a2b1_complex	COL2A1		True	False	False	curated	True	0.012																						0.192																																																											
CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	COL3A1		True	False	False	curated	True	0.012																																								1.916																																									
CPI-CS0F3C15BCC	ProstaglandinD2_byAKR1C3_PTGDR	complex:ProstaglandinD2_byAKR1C3	simple:Q13258		PTGDR	True	False	True	curated	False	0.012																																			0.192																																														
CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	COL5A2		True	False	False	curated	True	0.012																																								1.077																																									
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367		HRH1	True	False	True	curated	False	0.012																																																	0.857																																
CPI-CS05CFD8AFA	FZD1_LRP6_WNT2	complex:FZD1_LRP6	simple:P09544		WNT2	True	False	False	curated	False	0.012																																									0.17																																								
CPI-SC01BCB453C	PTGIR_Prostacyclin_byPTGIS	simple:P43119	complex:Prostacyclin_byPTGIS	PTGIR		True	True	False	curated	False	0.012																																									0.128																																								
CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	COL1A2		True	False	False	curated	True	0.012																																								2.102																																									
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.012																																				0.098																																													
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	0.012																																								0.619																																									
CPI-CS012D15A88	BMR1A_ACR2A_BMP4	complex:BMR1A_ACR2A	simple:P12644		BMP4	True	True	False	curated	False	0.012																																									0.112																																								
CPI-SS0C2437E0D	CXCL13_CXCR5	simple:O43927	simple:P32302	CXCL13	CXCR5	True	False	True	curated	False	0.012																																																																0.353																	
CPI-CS0107C51C6	BMPR1B_BMPR2_BMP4	complex:BMPR1B_BMPR2	simple:P12644		BMP4	True	True	False	curated	False	0.012														0.106																																																																			
CPI-CS0ADD1BA62	FZD7_LRP5_WNT2	complex:FZD7_LRP5	simple:P09544		WNT2	True	False	False	curated	False	0.012																																									0.157																																								
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	0.012																															1.193																																																		
CPI-SC037038602	COL7A1_integrin_a11b1_complex	simple:Q02388	complex:integrin_a11b1_complex	COL7A1		True	False	False	curated	True	0.012																																									0.365																																								
CPI-SS059CC19A3	CCR1_CCL14	simple:P32246	simple:Q16627	CCR1	CCL14	True	True	False	curated	False	0.012																																																										0.373																							
CPI-SC044B5BE16	COL4A5_integrin_a11b1_complex	simple:P29400	complex:integrin_a11b1_complex	COL4A5		True	False	False	curated	True	0.012														0.368																																																																			
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	CCL5	CCR1	True	False	True	curated	False	0.012																																																																						1.204											
CPI-SC0D10396B4	COL21A1_integrin_a2b1_complex	simple:Q96P44	complex:integrin_a2b1_complex	COL21A1		True	False	False	curated	True	0.012																															0.136																																																		
CPI-SS0C95AC883	WNT2_SFRP2	simple:P09544	simple:Q96HF1	WNT2	SFRP2	True	False	False	curated	False	0.012																																									1.35																																								
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	0.012																																								0.875																																									
CPI-SS0C17BB772	FCGR2A_CXCL9	simple:P12318	simple:Q07325	FCGR2A	CXCL9	True	True	False	IMEx,IntAct	False	0.012																																																													0.705																				
CPI-SS017D5AA63	WNT2_WIF1	simple:P09544	simple:Q9Y5W5	WNT2	WIF1	True	False	False	curated	False	0.012																																							0.192																																										
CPI-SS015E1E2C6	SELP_CD34	simple:P16109	simple:P28906	SELP	CD34	False	False	False	curated	False	0.012																															0.931																																																		
CPI-SS03F821467	CD96_NECTIN1	simple:P40200	simple:Q15223	CD96	NECTIN1	True	True	True	curated	False	0.012																																																																								0.504									
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	0.012																															0.315																																																		
CPI-SS047CD2E9F	TNFSF9_ADGRG5	simple:P41273	simple:Q8IZF4	TNFSF9	ADGRG5	True	False	True	InnateDB-All	False	0.012																																																																																	0.246
CPI-SS0B0E09B1C	CTLA4_CD86	simple:P16410	simple:P42081	CTLA4	CD86	False	False	True	curated	False	0.012																																																																						0.456											
CPI-SS0E1735D13	CCL3L1_CCR1	simple:CCL3L1	simple:P32246	CCL3L1	CCR1	True	False	True	curated	False	0.012																																																													0.391																				
CPI-SS077D7365D	CD28_CD86	simple:P10747	simple:P42081	CD28	CD86	False	False	True	curated	False	0.012																																																																						0.389											
CPI-SS07327E587	CD28_CD80	simple:P10747	simple:P33681	CD28	CD80	False	False	True	curated	False	0.012																																																																						0.17											
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.012																																			0.369																																														
CPI-CS09B8977D7	Dehydroepiandrosterone_bySTS_ESR1	complex:Dehydroepiandrosterone_bySTS	simple:P03372		ESR1	True	False	True	curated	False	0.012																																																								0.406																									
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.012																																			0.396																																														
CPI-CS0754A8484	FZD7_LRP6_WNT10A	complex:FZD7_LRP6	simple:Q9GZT5		WNT10A	True	False	False	curated	False	0.012																																													0.193																																				
CPI-CS0711601F5	FZD1_LRP5_WNT10A	complex:FZD1_LRP5	simple:Q9GZT5		WNT10A	True	False	False	curated	False	0.012																																													0.181																																				
CPI-CS0009D06D0	FZD1_LRP6_WNT10A	complex:FZD1_LRP6	simple:Q9GZT5		WNT10A	True	False	False	curated	False	0.012																																													0.193																																				
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	0.012																															1.432																																																		
CPI-SS0C96733CF	FRZB_WNT10A	simple:Q92765	simple:Q9GZT5	FRZB	WNT10A	True	False	False	curated	False	0.012																																													0.4																																				
CPI-CS0B03558D5	FZD7_LRP5_WNT10A	complex:FZD7_LRP5	simple:Q9GZT5		WNT10A	True	False	False	curated	False	0.012																																													0.181																																				
CPI-CS0259A0EB4	Dehydroepiandrosterone_bySTS_PPARA	complex:Dehydroepiandrosterone_bySTS	simple:Q07869		PPARA	True	False	True	curated	False	0.012																																																															0.131																		
CPI-SS0320FFAFC	CTLA4_CD80	simple:P16410	simple:P33681	CTLA4	CD80	False	False	True	curated	False	0.012																																																																						0.237											
CPI-SS0817CE2B3	CCL3L1_CCR1	simple:P16619	simple:P32246	CCL3L1	CCR1	True	False	True	I2D,InnateDB-All	False	0.012																																																													0.391																				
CPI-SS042EB8C7A	TBXA2R_GHRL	simple:P21731	simple:Q9UBU3	TBXA2R	GHRL	True	True	False	InnateDB-All	False	0.012																																				0.132																																													
CPI-SS095463C07	CCRL2_RARRES2	simple:O00421	simple:Q99969	CCRL2	RARRES2	True	True	False	curated	False	0.012																																																											0.963																						
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	0.012																																								0.58																																									
CPI-SC0D0BFC9F7	COL5A3_integrin_a11b1_complex	simple:P25940	complex:integrin_a11b1_complex	COL5A3		True	False	False	curated	True	0.012																																									0.49																																								
CPI-SC0CC30CEC0	COL8A2_integrin_a11b1_complex	simple:P25067	complex:integrin_a11b1_complex	COL8A2		True	False	False	curated	True	0.012																																									0.506																																								
CPI-SS0273C9AED	KDR_VEGFC	simple:P35968	simple:P49767	KDR	VEGFC	True	True	False	curated	False	0.012																															0.509																																																		
CPI-SC08821B0D2	COL5A1_integrin_a11b1_complex	simple:P20908	complex:integrin_a11b1_complex	COL5A1		True	False	False	curated	True	0.012																																									1.067																																								
CPI-SS0F972435E	FLT4_VEGFC	simple:P35916	simple:P49767	FLT4	VEGFC	True	True	False	curated	False	0.012																															0.289																																																		
CPI-SS03A3EE72E	FLT4_PDGFC	simple:P35916	simple:Q9NRA1	FLT4	PDGFC	True	True	False	guidetopharmacology.org	False	0.012																																0.271																																																	
CPI-SS03CC15FF3	PDGFRA_PDGFC	simple:P16234	simple:Q9NRA1	PDGFRA	PDGFC	True	True	False	curated	False	0.012																																									0.34																																								
CPI-SC06F3DDF90	COL11A1_integrin_a11b1_complex	simple:P12107	complex:integrin_a11b1_complex	COL11A1		True	False	False	curated	True	0.012																																									0.844																																								
CPI-SS02704D1B8	WNT2_FRZB	simple:P09544	simple:Q92765	WNT2	FRZB	True	False	False	curated	False	0.012																																									0.376																																								
CPI-SC0BB68FB34	COL9A3_integrin_a2b1_complex	simple:Q14050	complex:integrin_a2b1_complex	COL9A3		True	False	False	curated	True	0.012																						0.186																																																											
CPI-SC088A27EA5	COL24A1_integrin_a2b1_complex	simple:Q17RW2	complex:integrin_a2b1_complex	COL24A1		True	False	False	curated	True	0.012																																																																												0.172					
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	0.012																																								0.495																																									
CPI-SS01E6C2BB8	WNT2_SFRP1	simple:P09544	simple:Q8N474	WNT2	SFRP1	True	False	False	curated	False	0.012																																							0.33																																										
CPI-SC0F179D307	COL26A1_integrin_a2b1_complex	simple:Q96A83	complex:integrin_a2b1_complex	COL26A1		True	False	False	curated	True	0.012																																																																												0.245					
CPI-SC0A5E87289	COL2A1_integrin_a11b1_complex	simple:P02458	complex:integrin_a11b1_complex	COL2A1		True	False	False	curated	True	0.012																							0.418																																																										
CPI-SS05E7290A6	WNT2_SFRP4	simple:P09544	simple:Q6FHJ7	WNT2	SFRP4	True	False	False	curated	False	0.012																																									0.5																																								
CPI-SS0A932EB77	SLIT2_ROBO1	simple:O94813	simple:Q9Y6N7	SLIT2	ROBO1	True	False	True	curated	False	0.025																																								0.173	0.211																																								
CPI-SS02B567BC7	PLXNC1_SEMA7A	simple:O60486	simple:O75326	PLXNC1	SEMA7A	False	True	False	curated	False	0.025																																													0.199																		0.212																		
CPI-SS032E9A219	CX3CR1_CX3CL1	simple:P49238	simple:P78423	CX3CR1	CX3CL1	True	True	False	curated	False	0.025																																																									0.144	0.216																							
CPI-SS043E0F61D	PTGER3_GHRL	simple:P43115	simple:Q9UBU3	PTGER3	GHRL	True	True	False	InnateDB-All	False	0.025																		0.119																											0.17																																				
CPI-SC0542462B9	FCER2_integrin_aXb2_complex	simple:P06734	complex:integrin_aXb2_complex	FCER2		True	True	False	curated	True	0.025						0.241	0.347																																																																										
CPI-SS04A5D6B6F	DLL1_NOTCH1	simple:O00548	simple:P46531	DLL1	NOTCH1	False	False	True	curated	False	0.025																															0.309	0.124																																																	
CPI-SC0B3564B15	COL8A1_integrin_a2b1_complex	simple:P27658	complex:integrin_a2b1_complex	COL8A1		True	False	False	curated	True	0.025																						0.16																		0.552																																									
CPI-CS06D50EBF8	OSMR_OSM	complex:OSMR	simple:P13725		OSM	True	True	False	curated	False	0.025																																		0.162									0.202																																						
CPI-SS068C742A1	FGF1_TGFBR3	simple:P05230	simple:Q03167	FGF1	TGFBR3	True	False	True	InnateDB-All	False	0.025																																								0.282	0.149																																								
CPI-SS0D46E2B45	TGFB3_TGFBR3	simple:P10600	simple:Q03167	TGFB3	TGFBR3	True	False	True	curated	False	0.025																																								0.408	0.275																																								
CPI-SS0F5B6B186	PDCD1_PDCD1LG2	simple:Q15116	simple:Q9BQ51	PDCD1	PDCD1LG2	True	True	True	curated	False	0.025																																																																					0.25	0.224											
CPI-SS0C2C89A41	SELP_PODXL2	simple:P16109	simple:Q9NZ53	SELP	PODXL2	False	False	False	curated	False	0.025																													0.21	0.195																																																			
CPI-SS0DFA98A14	CSF1R_IL34	simple:P07333	simple:Q6ZMJ4	CSF1R	IL34	True	True	False	curated	False	0.025																																																											0.46																		0.147				
CPI-CS099D829B9	IGF1R_enhancerComGPC3_IGF1	complex:IGF1R_enhancerComGPC3	simple:P05019		IGF1	True	True	False	curated	False	0.025																																									0.323		0.126																																						
CPI-SC0CCB0D955	COL6A1_integrin_a2b1_complex	simple:P12109	complex:integrin_a2b1_complex	COL6A1		True	False	False	curated	True	0.025																						0.272																		1.297																																									
CPI-SS0CA6FD8ED	SELE_PODXL2	simple:P16581	simple:Q9NZ53	SELE	PODXL2	False	False	False	curated	False	0.025																													0.17	0.155																																																			
CPI-SC03515B178	COL4A1_integrin_a2b1_complex	simple:P02462	complex:integrin_a2b1_complex	COL4A1		True	False	False	curated	True	0.025																															0.94									0.401																																									
CPI-SC00D92ECAF	FCER2_integrin_aMb2_complex	simple:P06734	complex:integrin_aMb2_complex	FCER2		True	True	False	curated	True	0.025						0.249	0.31																																																																										
CPI-SC044C2FDA4	COL27A1_integrin_a2b1_complex	simple:Q8IZC6	complex:integrin_a2b1_complex	COL27A1		True	False	False	curated	True	0.025																						0.121																		0.14																																									
CPI-SS0F52745F3	DPP4_CXCL9	simple:P27487	simple:Q07325	DPP4	CXCL9	True	True	False	curated	False	0.025																																											0.315																																				0.345		
CPI-CS0E54FF657	BMPR1A_BMPR2_BMP4	complex:BMPR1A_BMPR2	simple:P12644		BMP4	True	True	False	curated	False	0.025														0.097																											0.147																																								
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	0.025																															0.801									0.374																																									
CPI-SS076FEB261	FLT3_FLT3LG	simple:P36888	simple:P49771	FLT3	FLT3LG	True	True	False	curated	False	0.025																																																																													0.195			0.376	
CPI-SC046604E76	COL4A2_integrin_a2b1_complex	simple:P08572	complex:integrin_a2b1_complex	COL4A2		True	False	False	curated	True	0.025																															0.913									0.452																																									
CPI-SC0E5A1BA8E	LAMA3_integrin_a3b1_complex	simple:Q16787	complex:integrin_a3b1_complex	LAMA3		True	False	False	curated	True	0.025																													0.113		0.138																																																		
CPI-SS0659DBE72	EFNA4_EPHA4	simple:P52798	simple:P54764	EFNA4	EPHA4	True	False	True	curated	False	0.025													0.171									0.146																																																											
CPI-SC0236D0574	TBXA2R_ThromboxaneA2_byTBXAS1	simple:P21731	complex:ThromboxaneA2_byTBXAS1	TBXA2R		True	True	False	curated	False	0.025																																	0.188	0.259																																															
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	0.025													0.24									0.191																																																											
CPI-SS0D377BBBF	ADCYAP1_DPP4	simple:P18509	simple:P27487	ADCYAP1	DPP4	True	False	True	InnateDB-All,MINT	False	0.025																																																		0.267				0.297																											
CPI-SC065DB6486	COL21A1_integrin_a1b1_complex	simple:Q96P44	complex:integrin_a1b1_complex	COL21A1		True	False	False	curated	True	0.025																															0.289	0.267																																																	
CPI-SC0C351F7DF	COL4A1_integrin_a11b1_complex	simple:P02462	complex:integrin_a11b1_complex	COL4A1		True	False	False	curated	True	0.025																																1.165									0.626																																								
CPI-SC075489ADB	COL5A2_integrin_a11b1_complex	simple:P05997	complex:integrin_a11b1_complex	COL5A2		True	False	False	curated	True	0.025																																0.38									1.302																																								
CPI-SC09AE93F66	COL4A2_integrin_a11b1_complex	simple:P08572	complex:integrin_a11b1_complex	COL4A2		True	False	False	curated	True	0.025																																1.138									0.677																																								
CPI-SS03098AC28	ERBB4_HBEGF	simple:Q15303	simple:Q99075	ERBB4	HBEGF	True	True	True	curated	False	0.025													0.237			0.256																																																																	
CPI-SS07AD626C8	VDR_HBEGF	simple:P11473	simple:Q99075	VDR	HBEGF	True	True	True	InnateDB	False	0.025																																								0.14			0.158																																						
